FlickrID,DateTimeOriginal,CreateDate,ModifyDate,Software,LensInfo,LensModel,JFIFVersion,ISO,ExposureTime,FNumber,FocalLength,FocalLengthIn35mmFormat,BrightnessValue,SubjectArea
53128139480,2023:08:11 20:40:29,2023:08:11 20:40:29,2023:08:11 20:40:29,16.1.2,2.869999885mm f/2.2,iPhone 8 front camera 2.87mm f/2.2,,2000,1/16,2.2,2.9 mm,32 mm,-3.228925552,
52412187541,2022:10:07 15:12:43,2022:10:07 15:12:43,2022:10:07 15:12:43,15.2.1,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,50,1/15,1.8,4.0 mm,28 mm,2.007486959,2015 1511 2217 1330
51294206192,2021:07:05 20:51:58,2021:07:05 20:51:58,2021:07:05 20:51:58,14.6,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,640,1/17,1.8,4.0 mm,28 mm,-2.684433297,2015 1511 2217 1330
52410368989,2022:08:16 08:56:04,2022:08:16 08:56:04,2022:08:16 08:56:04,15.2.1,2.869999885mm f/2.2,iPhone 8 front camera 2.87mm f/2.2,,80,1/60,2.2,2.9 mm,32 mm,4.135670689,
51407490100,2021:07:22 15:25:46,2021:07:22 15:25:46,2021:07:22 15:25:46,14.6,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,100,1/4,1.8,4.0 mm,28 mm,-1.082265108,2015 1511 2217 1330
51425107614,2021:08:31 23:28:05,2021:08:31 23:28:05,2021:08:31 23:28:05,14.7.1,2.87mm f/2.2,iPhone 8 front camera 2.87mm f/2.2,,1600,1/15,2.2,2.9 mm,32 mm,-2.573840564,
53133819351,2023:08:18 13:28:14,2023:08:18 13:28:14,2023:08:18 13:28:14,16.1.2,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,20,1/40,1.8,4.0 mm,28 mm,4.560940499,2015 1511 2217 1330
52989740274,2022:12:27 12:37:13,2022:12:27 12:37:13,2022:12:27 12:37:13,16.1.2,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,40,1/30,1.8,4.0 mm,31 mm,3.41236962,2252 1451 303 304
53134183270,2023:07:18 19:58:18,2023:07:18 19:58:18,2023:07:18 19:58:18,16.1.2,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,100,1/4,1.8,4.0 mm,28 mm,-1.423356251,2015 1511 2217 1330
52244234831,2022:07:24 13:16:05,2022:07:24 13:16:05,2022:07:24 13:16:05,15.2.1,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,250,1/4,1.8,4.0 mm,28 mm,-3.488395062,2015 1511 2217 1330
52244297396,2022:07:24 17:41:23,2022:07:24 17:41:23,2022:07:24 17:41:23,15.2.1,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,20,1/1333,1.8,4.0 mm,28 mm,9.304637601,2015 1511 2217 1330
52470262542,2022:10:21 22:15:47,2022:10:21 22:15:47,2022:10:21 22:15:47,15.2.1,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,80,1/15,1.8,4.0 mm,28 mm,1.525770797,2015 1511 2217 1330
52554273123,2022:12:09 16:55:59,2022:12:09 16:55:59,2022:12:09 16:55:59,Slow Shutter Cam by Cogitap Software,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,1.02,250,1/10,1.8,4.0 mm,28 mm,-0.223689207,
52992400551,2023:03:20 11:53:16,2023:03:20 11:53:16,2023:03:20 11:53:16,16.1.2,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,100,1/4,1.8,4.0 mm,28 mm,-0.8429316198,2015 1511 2217 1330
52992941513,2023:02:22 22:11:43,2023:02:22 22:11:43,2023:02:22 22:11:43,16.1.2,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,100,1/13,1.8,4.0 mm,28 mm,0.8089346327,2015 1511 2217 1330
51019532441,2021:03:06 21:24:23,2021:03:06 21:24:23,2021:03:06 21:24:23,Instagram,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,1.02,800,1/30,1.8,4.0 mm,96 mm,-1.341118623,
52432871914,2022:10:15 16:55:09,2022:10:15 16:55:09,2022:10:15 16:55:09,15.2.1,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,50,1/15,1.8,4.0 mm,28 mm,1.811950336,2015 1511 2217 1330
51785514926,2021:12:29 02:10:09,2021:12:29 02:10:09,2021:12:29 02:10:09,14.7.1,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,640,1/24,1.8,4.0 mm,28 mm,-1.236513102,2015 1511 2217 1330
52089366038,2022:04:09 19:54:13,2022:04:09 19:54:13,2022:04:09 19:54:13,Slow Shutter Cam by Cogitap Software,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,1.02,500,1/10,1.8,4.0 mm,28 mm,-1.648240579,
52611268260,2022:12:31 13:18:52,2022:12:31 13:18:52,2022:12:31 13:18:52,Slow Shutter Cam by Cogitap Software,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,1.02,80,1/15,1.8,4.0 mm,28 mm,2.583875969,
52089624714,2022:04:09 16:53:31,2022:04:09 16:53:31,2022:04:09 16:53:31,15.2.1,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,20,1/500,1.8,4.0 mm,28 mm,7.705461394,2015 1511 2217 1330
50984052746,2021:02:24 13:10:06,2021:02:24 13:10:06,2021:02:24 13:10:06,14.4,2.87mm f/2.2,iPhone 8 front camera 2.87mm f/2.2,,1000,1/15,2.2,2.9 mm,32 mm,-2.077000757,
51290115541,2021:05:28 18:17:10,2021:05:28 18:17:10,2021:05:28 18:17:10,14.4.2,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,20,1/345,1.8,4.0 mm,28 mm,7.239629866,
